,Name,Size,Price,Location
237,2 Bedroom Apartment,735 m²,R 2 100 000,Boland Park
238,4 Bedroom House,344 m²,R 5 650 000,Dana Bay
239,Vacant Land,597 m²,R 799 000,Dana Bay
240,Vacant Land,982 m²,R 1 712 000,Boggomsbaai
241,Vacant Land,712 m²,R 1 785 000,Dana Bay
242,1 Bedroom Apartment,1 578 m²,R 1 200 000,Mossel Bay Central
243,3 Bedroom Townhouse,360 m²,R 3 650 000,Mossel Bay Golf Estate
244,2 Bedroom Apartment,1 158 m²,R 4 200 000,Santos Bay
245,Vacant Land,2 206 m²,R 290 000,Friemersheim
246,5 Bedroom House,1.05 ha,R 7 200 000,Num Num Cape Estate
247,4 Bedroom House,2 740 m²,R 8 900 000,Pinnacle Point Golf Estate
248,3 Bedroom House,712 m²,R 2 950 000,Dana Bay
249,4 Bedroom House,346 m²,R 2 450 000,Seemeeu Park
250,3 Bedroom House,501 m²,R 3 495 000,Dana Bay
251,2 Bedroom Apartment,592 m²,R 3 099 000,Da Nova
252,2 Bedroom Apartment,4.5 ha,R 1 450 000,De Bakke
253,3 Bedroom House,705 m²,R 2 995 000,Mossel Bay Central
254,Farm,816 m²,R 5 900 000,Ruiterbos
255,3 Bedroom House,691 m²,R 2 620 000,Heiderand
256,8 Bedroom House,1 497 m²,R 3 500 000,Dana Bay
257,3 Bedroom House,12.532 ha,R 2 100 000,Heiderand
258,3 Bedroom House,658 m²,R 3 950 000,Mossel Bay Central
259,Farm,592 m²,R 3 950 000,Mossel Bay Rural
260,Vacant Land,840 m²,R 4 700 000,Pinnacle Point Golf Estate
261,3 Bedroom House,2.315 ha,R 2 995 000,Mossel Bay Central
262,Vacant Land,207 m²,R 1 850 000,Island View
263,Farm,351 m²,R 1 950 000,Mossel Bay Rural
264,2 Bedroom House,1 696 m²,R 2 100 000,Heiderand
265,3 Bedroom House,180 m²,R 14 500 000,Pinnacle Point Golf Estate
266,2 Bedroom Apartment,545 m²,R 1 680 000,Boland Park
267,3 Bedroom House,805 m²,R 3 850 000,Island View
268,Vacant Land,1 020 m²,R 1 650 000,Dana Bay
269,3 Bedroom House,615 m²,R 1 900 000,Mossel Bay Ext 15
270,Farm,94 ha,R 12 900 000,Ruiterbos
271,1 Bedroom Apartment,984 m²,R 1 699 000,Pinnacle Point Golf Estate
272,Commercial Property,214 m²,R 13 000 000,Mossel Bay Central
273,Vacant Land,321 m²,R 2 290 000,Mossel Bay Central
274,3 Bedroom House,161 m²,R 2 750 000,Dana Bay
275,3 Bedroom House,214 m²,R 1 550 000,Boland Park
276,2 Bedroom Townhouse,266 m²,R 2 800 000,Diaz Beach
277,3 Bedroom House,597 m²,R 2 750 000,Dana Bay
278,3 Bedroom House,512 m²,R 2 600 000,Dana Bay
279,2 Bedroom Apartment,1 300 m²,R 2 495 000,Boland Park
280,3 Bedroom Apartment,304 m²,R 3 400 000,Pinnacle Point Golf Estate
281,4 Bedroom House,1 000 m²,R 7 500 000,Pinnacle Point Golf Estate
282,Vacant Land,438 m²,R 560 000,Mossel Bay Ext 26
283,Vacant Land,4 721 m²,R 1 950 000,Boland Park
284,3 Bedroom House,500 m²,R 3 800 000,Dana Bay
285,4 Bedroom House,299 m²,R 2 499 999,De Bakke
286,Commercial Property,250 m²,R 4 030 000,Diaz Industria
287,3 Bedroom House,911 m²,R 3 550 000,Pinnacle Point Golf Estate
288,5 Bedroom House,915 m²,R 1 250 000,Island View
289,1 Bedroom Apartment,696 m²,R 7 995 000,Da Nova
290,10 Bedroom House,715 m²,R 7 995 000,Island View
291,5 Bedroom House,1 534 m²,R 2 995 000,De Bakke
292,6 Bedroom House,1 400 m²,R 2 499 000,Dana Bay
293,2 Bedroom Apartment,1 850 m²,R 1 950 000,Mossel Bay Central
294,3 Bedroom House,1 902 m²,R 450 000,Seemeeu Park
295,Vacant Land,1 750 m²,R 2 400 000,Boland Park
296,2 Bedroom Apartment,2 756 m²,R 690 000,Diaz Beach
297,Industrial Property,250 m²,R 450 000,Diaz Industria
298,Industrial Property,3 234 m²,R 890 000,Diaz Industria
299,Vacant Land,1 029 m²,R 1 150 000,De Bakke
300,5 Bedroom House,958 m²,R 2 400 000,Mossel Bay Ext 13
301,Vacant Land,1 052 m²,R 1 020 000,De Bakke
302,Vacant Land,7.5 ha,R 1 350 000,Dana Bay
303,Farm,1 450 m²,R 7 150 000,Mossel Bay Rural
304,Vacant Land,583 m²,R 2 199 000,Mossel Bay Rural
305,6 Bedroom House,720 m²,R 8 000 000,Mossel Bay Central
306,2 Bedroom Apartment,269 m²,R 1 445 000,De Bakke
307,4 Bedroom House,194 m²,R 2 950 000,Heiderand
308,2 Bedroom House,1 162 m²,R 2 450 000,Dana Bay
309,3 Bedroom Townhouse,1 650 m²,R 2 660 000,Menkenkop
310,2 Bedroom Apartment,321 m²,R 1 445 000,De Bakke
311,4 Bedroom House,892 m²,R 19 500 000,Pinnacle Point Golf Estate
312,3 Bedroom House,447 m²,R 1 100 000,Mossel Bay Ext 13
313,Industrial Property,500 m²,R 610 000,Diaz Industria
314,2 Bedroom Apartment,858 m²,R 2 600 000,Diaz Beach
315,5 Bedroom House,816 m²,R 6 895 000,Dana Bay
316,Vacant Land,926 m²,R 1 780 000,Island View
317,2 Bedroom Apartment,925 m²,R 450 000,Mossel Bay Ext 13
318,3 Bedroom House,424 m²,R 2 650 000,Dana Bay
319,2 Bedroom Apartment,896 m²,R 1 960 000,Diaz Beach
320,3 Bedroom House,630 m²,R 4 399 000,Island View
321,2 Bedroom Apartment,492 m²,R 3 099 000,Da Nova
322,Vacant Land,5 300 m²,R 1 480 000,De Bakke
323,4 Bedroom House,1 089 m²,R 4 247 000,Diaz Beach
324,4 Bedroom House,752 m²,R 2 850 000,Island View
325,Farm,852 m²,R 3 500 000,Herbertsdale
326,Vacant Land,918 m²,R 1 750 000,Dana Bay
327,Vacant Land,1 055 m²,R 1 270 000,Dana Bay
328,Vacant Land,866 m²,R 1 230 000,De Bakke
329,5 Bedroom House,2 517 m²,R 7 999 000,De Bakke
330,Vacant Land,425 m²,R 1 195 000,Island View
331,2 Bedroom Apartment,1 120 m²,R 1 480 000,De Bakke
332,4 Bedroom House,510 m²,R 9 990 000,Pinnacle Point Golf Estate
333,Vacant Land,323 m²,R 570 000,Mossel Bay Ext 26
334,3 Bedroom Townhouse,369 m²,R 3 340 000,Diaz Beach
335,Vacant Land,698 m²,R 795 000,De Bakke
336,Vacant Land,510 m²,R 1 760 000,De Bakke
337,2 Bedroom Apartment,2 000 m²,R 2 899 000,Da Nova
338,3 Bedroom Apartment,667 m²,R 3 280 000,Seemeeu Park
339,Vacant Land,480 ha,R 980 000,Mossel Bay Ext 26
340,3 Bedroom House,300 m²,R 7 500 000,Springerbaai Eco Estate
341,Vacant Land,356 m²,R 950 000,De Bakke
342,Farm,1 096 m²,R 17 950 000,Mossel Bay Rural
343,4 Bedroom House,369 m²,R 1 299 000,Mossel Bay Ext 13
344,2 Bedroom Apartment,750 m²,R 2 600 000,Diaz Beach
345,3 Bedroom House,743 m²,R 4 600 000,Boggomsbaai
346,Vacant Land,743 m²,R 1 997 000,Dana Bay
347,4 Bedroom House,522 m²,R 3 900 000,Boggomsbaai
348,Vacant Land,525 m²,R 640 000,Mossel Bay Ext 26
349,3 Bedroom House,443 m²,R 2 950 000,Island View
350,6 Bedroom House,730 m²,R 3 890 000,Dana Bay
351,2 Bedroom Apartment,525 m²,R 1 960 000,Diaz Beach
352,Vacant Land,300 m²,R 565 000,Mossel Bay Ext 26
353,3 Bedroom Apartment,780 m²,R 2 900 000,Mossel Bay Central
354,Vacant Land,178 m²,R 575 000,De Bakke
355,3 Bedroom House,600 m²,R 2 950 000,Dana Bay
356,3 Bedroom Apartment,915 m²,R 2 900 000,Mossel Bay Central
357,2 Bedroom Townhouse,447 m²,R 2 800 000,Diaz Beach
358,4 Bedroom Townhouse,977 m²,R 7 800 000,Pinnacle Point Golf Estate
359,5 Bedroom House,525 m²,R 7 890 000,Fairview
360,Vacant Land,525 m²,R 450 000,Boland Park
361,Vacant Land,429 m²,R 1 195 000,Boland Park
362,Vacant Land,310 m²,R 565 000,Mossel Bay Ext 26
363,Vacant Land,1 696 m²,R 580 000,Mossel Bay Ext 26
364,3 Bedroom House,402 m²,R 3 850 000,Island View
365,Vacant Land,1 280 m²,R 1 600 000,De Bakke
366,Vacant Land,980 m²,R 2 700 000,Village On Sea
367,Vacant Land,1 029 m²,R 1 100 000,De Bakke
368,3 Bedroom Townhouse,248 m²,R 4 150 000,Pinnacle Point Golf Estate
369,3 Bedroom House,631 m²,R 3 495 000,Dana Bay
370,Vacant Land,716 m²,R 960 000,Seemeeu Park
371,2 Bedroom Apartment,503 m²,R 2 925 000,Island View
372,2 Bedroom Apartment,640 m²,R 3 000 000,New Sunnyside
373,Vacant Land,60 202 m²,R 2 200 000,Mossel Bay Golf Estate
374,3 Bedroom House,780 m²,R 3 795 000,Dana Bay
375,Vacant Land,440 m²,R 1 100 000,Dana Bay
376,3 Bedroom House,926 m²,R 3 750 000,Pinnacle Point Golf Estate
377,3 Bedroom House,699 m²,R 2 695 000,Heiderand
378,4 Bedroom House,402 m²,R 3 295 000,Seemeeu Park
379,2 Bedroom Apartment,774 m²,R 2 750 000,Island View
380,3 Bedroom Apartment,910 m²,R 2 595 000,Diaz Beach
381,3 Bedroom Apartment,1 500 m²,R 3 200 000,Pinnacle Point Golf Estate
382,2 Bedroom Apartment,630 m²,R 2 600 000,Diaz Beach
383,4 Bedroom House,1 383 m²,R 3 990 000,Dana Bay
384,Vacant Land,89 ha,R 450 000,N2 Industrial Park
385,Vacant Land,900 m²,R 1 995 000,Diaz Beach
386,Vacant Land,926 m²,R 5 300 000,Pinnacle Point Golf Estate
387,2 Bedroom Townhouse,208 m²,R 2 190 000,Island View
388,Farm,510 m²,R 10 900 000,Mossel Bay Rural
389,4 Bedroom House,735 m²,R 3 950 000,Linkside
390,Vacant Land,3 864 m²,R 1 775 000,Island View
391,2 Bedroom Townhouse,65.7 ha,R 2 190 000,Island View
392,Vacant Land,1 125 m²,R 580 000,Mossel Bay Ext 26
393,Vacant Land,290 m²,R 830 000,Mossel Bay Ext 26
394,3 Bedroom House,770 m²,R 5 300 000,Dana Bay
395,Farm,127 ha,R 21 500 000,Herbertsdale
396,Vacant Land,826 m²,R 1 240 000,Island View
397,Vacant Land,2 000 m²,R 1 650 000,Springerbaai Eco Estate
398,2 Bedroom Apartment,3 968 m²,R 1 735 000,Dana Bay
399,Vacant Land,750 m²,R 4 800 000,Diaz Industria
400,4 Bedroom House,361 m²,R 6 295 000,Dana Bay
401,4 Bedroom House,973 m²,R 8 800 000,Pinnacle Point Golf Estate
402,2 Bedroom Townhouse,262 ha,R 3 950 000,Heiderand
403,Vacant Land,460 m²,R 1 470 000,Island View
404,Farm,360 m²,R 27 500 000,Mossel Bay Rural
405,2 Bedroom House,2 771 m²,R 2 395 000,Dana Bay
406,3 Bedroom House,1 000 m²,R 9 600 000,Pinnacle Point Golf Estate
407,Vacant Land,394 m²,R 1 290 000,Boland Park
408,3 Bedroom House,310 m²,R 3 980 000,Paradise Coast
409,2 Bedroom House,1 000 m²,R 3 995 000,Mossel Bay Central
410,Vacant Land,3 818 m²,R 400 000,Boland Park
411,3 Bedroom House,2 756 m²,R 3 980 000,Paradise Coast
412,Vacant Land,981 m²,R 4 200 000,Dana Bay
413,Commercial Property,2 148 m²,R 35 000 000,Mossel Bay Central
414,Vacant Land,2 267 m²,R 5 850 000,Diaz Industria
415,3 Bedroom Apartment,1 360 m²,R 3 900 000,Pinnacle Point Golf Estate
416,Vacant Land,840 m²,R 2 200 000,Linkside
417,Vacant Land,3 818 m²,R 1 890 000,Island View
418,4 Bedroom House,229 m²,R 19 500 000,Pinnacle Point Golf Estate
419,2 Bedroom Apartment,120 m²,R 1 960 000,Diaz Beach
420,Vacant Land,500 m²,R 3 950 000,Moquini Coastal Estate
421,3 Bedroom House,1 589 m²,R 3 800 000,Mossel Bay Golf Estate
422,3 Bedroom Townhouse,3 864 m²,R 2 325 000,Dana Bay
423,3 Bedroom House,500 m²,R 3 800 000,Dana Bay
424,Vacant Land,694 m²,R 1 750 000,Num Num Cape Estate
425,Vacant Land,848 m²,R 4 700 000,Diaz Industria
426,3 Bedroom House,97 m²,R 3 800 000,Dana Bay
427,Vacant Land,360 m²,R 1 180 000,Seemeeu Park
428,3 Bedroom Townhouse,1 140 m²,R 2 460 000,Island View
429,2 Bedroom Apartment,800 m²,R 3 500 000,Diaz Beach
430,4 Bedroom House,1 001 m²,R 4 600 000,Dana Bay
431,4 Bedroom House,435 m²,R 3 999 000,Dana Bay
432,3 Bedroom House,1 731 m²,R 3 295 000,Seemeeu Park
433,Vacant Land,423 m²,R 3 173 000,Paradise Coast
434,3 Bedroom House,1 011 m²,R 4 199 000,Seemeeu Park
435,8 Bedroom House,400 m²,R 9 900 000,De Bakke
436,3 Bedroom Townhouse,210 m²,R 3 850 000,Pinnacle Point Golf Estate
437,3 Bedroom House,898 m²,R 2 100 000,Heiderand
438,2 Bedroom Apartment,284 m²,R 1 650 000,Island View
439,2 Bedroom House,800 m²,R 2 687 500,Heiderand
440,Vacant Land,712 m²,R 1 850 000,Dana Bay
441,3 Bedroom Apartment,880 m²,R 3 950 000,Mossel Bay Central
442,3 Bedroom House,825 m²,R 1 800 000,Heiderand
443,5 Bedroom House,856 m²,R 2 999 000,Dana Bay
444,Vacant Land,910 m²,R 1 320 000,Dana Bay
445,3 Bedroom Townhouse,910 m²,R 2 950 000,Heiderand
446,Vacant Land,3 968 m²,R 1 320 000,Dana Bay
447,Vacant Land,803 m²,R 4 758 000,Voorbaai
448,5 Bedroom House,238 m²,R 3 495 000,Dana Bay
449,3 Bedroom Townhouse,853 m²,R 2 590 000,Island View
450,5 Bedroom House,990 m²,R 3 575 000,Island View
451,5 Bedroom House,705 m²,R 4 950 000,Dana Bay
452,2 Bedroom House,491.54 m²,R 2 710 000,Heiderand
453,4 Bedroom House,224 m²,R 5 500 000,Pinnacle Point Golf Estate
454,Vacant Land,600 m²,R 735 000,Vakansieplaas
455,4 Bedroom House,530 m²,R 5 800 000,Pinnacle Point Golf Estate
456,3 Bedroom House,800 m²,R 3 299 000,Dana Bay
457,2 Bedroom House,809 m²,R 2 900 000,Da Nova
458,Vacant Land,700 m²,R 1 575 000,Island View
459,Vacant Land,561 m²,R 240 000,Friemersheim
460,4 Bedroom House,780 m²,R 2 650 000,Dana Bay
461,Vacant Land,631 m²,R 960 000,Seemeeu Park
462,6 Bedroom House,1 760 m²,R 3 050 000,Dana Bay
463,Vacant Land,973 m²,R 1 400 000,De Bakke
464,2 Bedroom Townhouse,1 300 m²,R 2 650 000,Mossel Bay Golf Estate
465,Vacant Land,730 m²,R 580 000,Kwanonqaba
466,3 Bedroom House,1 157 m²,R 3 300 000,Dana Bay
467,Vacant Land,835 m²,R 1 170 000,Dana Bay
468,4 Bedroom House,550 m²,R 3 995 000,Dana Bay
